assists,gameDate,gameId,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,opponentTeamAbbrev,otLosses,penaltyMinutes,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerWeight,points,savePctg,saves,shotsAgainst,shutouts,teamAbbrev,ties,timeOnIce,wins
0,2018-04-07T23:00:00Z,2017021263,1,1,0,2,1.9736,0,TBL,0,0,CAN,1984-02-29,SK,25,1,2002,Cam,73,8470320,0,1,Ward,Cam Ward,CAN,G,L,185,0,0.9411,32,34,0,CAR,0,3648,1
0,2018-04-07T23:00:00Z,2017021259,1,1,0,4,4.0839,1,TOR,0,0,CAN,1987-08-16,BC,5,1,2005,Carey,75,8471679,0,1,Price,Carey Price,CAN,G,L,215,0,0.8666,26,30,0,MTL,0,3526,0
0,2018-04-07T23:00:00Z,2017021265,1,0,0,1,3.0,0,CBJ,0,0,FIN,1995-04-19,,99,4,2013,Juuse,71,8477424,0,1,Saros,Juuse Saros,FIN,G,L,180,0,0.875,7,8,0,NSH,0,1200,0
0,2018-04-07T23:00:00Z,2017021261,1,1,0,3,9.0,1,FLA,0,0,CAN,1986-06-10,SK,125,5,2006,Chad,75,8473434,0,1,Johnson,Chad Johnson,CAN,G,L,197,0,0.75,9,12,0,BUF,0,1200,0
0,2018-04-07T23:00:00Z,2017021266,1,1,0,3,3.2325,1,COL,0,0,CAN,1990-08-07,NB,34,2,2008,Jake,74,8474596,0,1,Allen,Jake Allen,CAN,G,L,203,0,0.9189,34,37,0,STL,0,3341,0
0,2018-04-07T22:00:00Z,2017021264,1,1,0,4,4.0,1,WPG,0,0,CAN,1985-11-19,AB,89,3,2004,Jeff,75,8471301,0,1,Glass,Jeff Glass,CAN,G,L,206,0,0.8974,35,39,0,CHI,0,3600,0
0,2018-04-07T22:00:00Z,2017021264,1,1,0,1,1.0,0,CHI,0,0,USA,1993-05-19,MI,130,5,2012,Connor,76,8476945,0,1,Hellebuyck,Connor Hellebuyck,USA,G,L,207,0,0.9677,30,31,0,WPG,0,3600,1
0,2018-04-07T22:00:00Z,2017021267,1,1,0,2,2.0665,1,ANA,0,0,FIN,1989-05-12,,,,,Antti,72,8477293,0,1,Raanta,Antti Raanta,FIN,G,L,195,0,0.923,24,26,0,ARI,0,3484,0
0,2018-04-07T22:00:00Z,2017021267,1,1,0,0,0.0,0,ARI,0,0,USA,1980-07-17,MI,138,5,1999,Ryan,75,8468011,0,1,Miller,Ryan Miller,USA,G,L,173,0,1.0,31,31,1,ANA,0,3600,1
0,2018-04-07T19:00:00Z,2017021257,1,1,0,5,5.0,1,PHI,0,0,SWE,1982-03-02,,205,7,2000,Henrik,73,8468685,0,1,Lundqvist,Henrik Lundqvist,SWE,G,L,180,0,0.875,35,40,0,NYR,0,3600,0
0,2018-04-07T19:00:00Z,2017021257,1,1,0,0,0.0,0,NYR,0,0,CAN,1985-04-09,ON,291,9,2003,Brian,74,8470880,0,1,Elliott,Brian Elliott,CAN,G,L,209,0,1.0,17,17,1,PHI,0,3567,1
0,2018-04-06T23:30:00Z,2017021255,1,1,0,1,1.0,0,CHI,0,0,CAN,1985-12-19,ON,,,,Carter,73,8475622,0,1,Hutton,Carter Hutton,CAN,G,L,202,0,0.95,19,20,0,STL,0,3600,1
0,2018-04-06T23:30:00Z,2017021255,1,1,0,3,3.0892,1,STL,0,0,CAN,1991-07-13,QC,95,4,2009,J-F,73,8475234,0,1,Berube,J-F Berube,CAN,G,L,177,0,0.9117,31,34,0,CHI,0,3496,0
0,2018-04-06T23:30:00Z,2017021254,1,1,0,6,6.2176,1,TBL,0,0,CAN,1986-06-10,SK,125,5,2006,Chad,75,8473434,0,1,Johnson,Chad Johnson,CAN,G,L,197,0,0.8181,27,33,0,BUF,0,3474,0
0,2018-04-06T23:30:00Z,2017021253,1,1,0,4,4.0,1,PIT,0,0,USA,1981-05-21,IL,73,3,2001,Craig,74,8467950,0,1,Anderson,Craig Anderson,USA,G,L,185,0,0.826,19,23,0,OTT,0,3600,0
