faceoffWinPctg,faceoffsLost,faceoffsWon,gameDate,gameId,gameLocationCode,gamesPlayed,goalsAgainst,goalsFor,losses,opponentTeamAbbrev,otLosses,penaltyKillPctg,points,ppGoalsAgainst,ppGoalsFor,ppOpportunities,ppPctg,shNumTimes,shootoutGamesLost,shootoutGamesWon,shotsAgainst,shotsFor,teamAbbrev,teamId,ties,wins
0.5285,33,37,2018-03-24T23:00:00Z,2017021153,H,1,3,4,0,DET,0,1.0,2,0,0,4,0.0,1,0,0,41,29,TOR,10,0,1
0.4375,36,28,2017-11-10T00:00:00Z,2017020239,H,1,3,6,0,DET,0,0.6666,2,1,0,2,0.0,3,0,0,42,34,CGY,20,0,1
0.4531,35,29,2017-11-03T23:00:00Z,2017020199,R,1,3,5,0,ANA,0,0.75,2,1,1,4,0.25,4,0,0,38,30,NSH,18,0,1
0.4603,34,29,2017-12-10T00:00:00Z,2017020448,R,1,3,7,0,FLA,0,1.0,2,0,0,3,0.0,5,0,0,42,30,COL,21,0,1
0.5555,28,35,2017-10-04T22:00:00Z,2017020001,R,1,2,7,0,WPG,0,1.0,2,0,2,4,0.5,8,0,0,37,31,TOR,10,0,1
0.3582,43,24,2017-11-17T00:00:00Z,2017020285,H,1,2,6,0,WSH,0,0.8,2,1,2,6,0.3333,5,0,0,30,28,COL,21,0,1
0.5833,30,42,2017-10-28T23:00:00Z,2017020158,H,1,4,5,0,NYR,0,0.75,2,1,1,6,0.1666,4,0,0,26,43,MTL,8,0,1
0.5423,27,32,2018-03-04T22:00:00Z,2017021011,R,1,2,3,0,NJD,0,0.6666,2,1,1,2,0.5,3,0,0,35,27,VGK,54,0,1
0.4,39,26,2018-01-04T00:30:00Z,2017020614,H,1,1,2,0,OTT,0,1.0,2,0,0,1,0.0,1,0,0,34,35,DET,17,0,1
0.6226,20,33,2017-10-24T23:00:00Z,2017020128,H,1,1,2,0,EDM,0,1.0,2,0,0,3,0.0,2,0,0,30,44,PIT,5,0,1
0.4509,28,23,2018-04-02T23:30:00Z,2017021225,H,1,2,3,0,CAR,0,1.0,2,0,1,2,0.5,1,0,0,29,35,FLA,13,0,1
0.5849,22,31,2017-11-18T19:00:00Z,2017020295,H,1,2,5,0,NJD,0,1.0,2,0,0,0,0.0,2,0,0,36,34,WPG,52,0,1
0.4259,31,23,2018-01-05T00:00:00Z,2017020619,R,1,0,4,0,PIT,0,1.0,2,0,0,1,0.0,2,0,0,21,33,CAR,12,0,1
0.5384,30,35,2017-11-02T23:30:00Z,2017020189,R,1,1,2,0,TBL,0,1.0,2,0,0,2,0.0,2,0,0,28,35,NYR,3,0,1
0.5094,26,27,2018-03-22T23:30:00Z,2017021143,R,1,2,5,0,CHI,0,1.0,2,0,0,1,0.0,4,0,0,41,27,VAN,23,0,1
0.4848,34,32,2017-10-06T23:30:00Z,2017020014,H,1,3,5,0,FLA,0,1.0,2,0,1,3,0.3333,4,0,0,36,25,TBL,14,0,1
0.4677,33,29,2018-04-05T23:00:00Z,2017021241,H,1,1,2,0,TOR,0,0.5,2,1,0,2,0.0,2,0,0,32,39,NJD,1,0,1
0.4375,27,21,2018-02-02T00:00:00Z,2017020787,H,1,2,4,0,CHI,0,1.0,2,0,0,2,0.0,4,0,0,28,21,VAN,23,0,1
0.5507,31,38,2017-10-12T23:30:00Z,2017020052,H,1,2,5,0,STL,0,0.8,2,1,1,5,0.2,5,0,0,39,38,FLA,13,0,1
0.492,32,31,2018-02-03T00:00:00Z,2017020788,H,1,4,7,0,WSH,0,1.0,2,0,3,4,0.75,3,0,0,33,39,PIT,5,0,1
0.5909,27,39,2018-01-31T00:00:00Z,2017020764,H,1,2,5,0,SJS,0,0.6,2,2,0,3,0.0,5,0,0,42,31,PIT,5,0,1
0.6712,24,49,2017-11-10T00:00:00Z,2017020236,H,1,1,3,0,CHI,0,1.0,2,0,0,2,0.0,4,0,0,39,31,PHI,4,0,1
0.5774,30,41,2018-02-11T22:00:00Z,2017020860,R,1,2,2,0,ANA,0,1.0,2,0,0,1,0.0,2,0,1,27,39,SJS,28,0,1
0.5733,32,43,2018-02-24T23:00:00Z,2017020955,R,1,3,5,0,DAL,0,1.0,2,0,1,2,0.5,4,0,0,36,27,WPG,52,0,1
0.4363,31,24,2017-12-06T00:30:00Z,2017020416,R,1,3,4,0,PIT,0,0.6666,2,1,0,2,0.0,3,0,0,44,29,NYR,3,0,1
0.4576,32,27,2018-02-10T00:00:00Z,2017020837,H,1,2,4,0,CBJ,0,1.0,2,0,1,4,0.25,3,0,0,37,17,WSH,15,0,1
0.5538,29,36,2018-03-29T23:00:00Z,2017021190,H,1,2,4,0,TBL,0,0.75,2,1,1,3,0.3333,4,0,0,28,30,BOS,6,0,1
0.4444,30,24,2017-11-29T00:30:00Z,2017020372,R,1,1,4,0,DET,0,1.0,2,0,1,4,0.25,3,0,0,24,36,LAK,26,0,1
0.3793,36,22,2017-12-20T00:30:00Z,2017020517,R,1,0,3,0,BUF,0,1.0,2,0,0,2,0.0,1,0,0,36,33,BOS,6,0,1
0.5441,31,37,2018-01-07T18:00:00Z,2017020642,H,1,4,4,0,NJD,0,1.0,2,0,1,3,0.3333,5,0,1,46,38,NYI,2,0,1
0.492,32,31,2017-10-24T23:00:00Z,2017020135,H,1,2,4,0,CHI,0,1.0,2,0,1,5,0.2,3,0,0,31,33,VGK,54,0,1
0.5438,26,31,2017-10-29T22:00:00Z,2017020168,H,1,1,7,0,PIT,0,0.6666,2,1,1,3,0.3333,3,0,0,32,24,WPG,52,0,1
0.5833,25,35,2017-12-05T00:00:00Z,2017020415,R,1,2,5,0,CGY,0,1.0,2,0,1,3,0.3333,2,0,0,45,21,PHI,4,0,1
0.4603,34,29,2018-03-10T18:00:00Z,2017021048,H,1,4,7,0,CHI,0,1.0,2,0,4,6,0.6666,2,0,0,27,40,BOS,6,0,1
0.6093,25,39,2017-10-09T23:00:00Z,2017020035,H,1,3,4,0,CHI,0,0.8333,2,1,1,6,0.1666,6,0,0,21,43,TOR,10,0,1
0.5285,33,37,2017-11-10T00:00:00Z,2017020235,R,1,2,3,0,NJD,0,1.0,2,0,0,2,0.0,4,0,0,34,32,EDM,22,0,1
0.3611,46,26,2017-12-23T00:30:00Z,2017020540,H,1,2,4,0,MIN,0,0.8,2,1,0,3,0.0,5,0,0,31,34,FLA,13,0,1
0.5,29,29,2018-02-09T00:00:00Z,2017020827,R,1,2,3,0,NJD,0,0.5,2,1,0,0,0.0,2,0,0,32,25,CGY,20,0,1
0.4647,38,33,2017-11-02T23:00:00Z,2017020194,H,1,3,5,0,CAR,0,1.0,2,0,1,2,0.5,2,0,0,60,27,COL,21,0,1
